	PFAM	variable	value
129	Not In PFAM	WN_ef	0.4888200894392845
130	Not In PFAM	WN_ef	0.3152114222954421
131	Not In PFAM	WN_ef	0.2595899886806691
132	Not In PFAM	WN_ef	0.1742690058479532
133	Not In PFAM	WN_ef	0.4976762199845081
134	Not In PFAM	WN_ef	0.3841554559043348
135	Not In PFAM	WN_ef	0.2045028142589118
136	Not In PFAM	WN_ef	0.21888412017167386
137	Not In PFAM	WN_ef	0.17391304347826084
138	Not In PFAM	WN_ef	0.5696022727272727
139	Not In PFAM	WN_ef	0.3688760806916426
140	In PFAM	WN_ef	0.15330520393811534
141	Not In PFAM	WN_ef	0.1393179830953075
142	Not In PFAM	WN_ef	0.11713933415536375
143	Not In PFAM	WN_ef	0.2878787878787879
144	Not In PFAM	WN_ef	0.6106870229007634
145	Not In PFAM	WN_ef	0.2484756097560976
146	Not In PFAM	WN_ef	0.17656765676567654
147	Not In PFAM	WN_ef	0.15137614678899086
148	In PFAM	WN_ef	0.15587680703959775
149	In PFAM	WN_ef	0.12187958883994128
150	Not In PFAM	WN_ef	0.28973277074542897
151	Not In PFAM	WN_ef	0.4682539682539682
152	In PFAM	WN_ef	0.7923156801661475
153	In PFAM	WN_ef	0.7888774459320288
154	In PFAM	WN_ef	0.1886654478976234
155	In PFAM	WN_ef	0.7738095238095238
156	Not In PFAM	WN_ef	0.1640112464854733
157	In PFAM	WN_ef	0.5420827389443652
158	Not In PFAM	WN_ef	0.3816371681415929
159	Not In PFAM	WN_ef	0.4301552106430155
160	Not In PFAM	WN_ef	0.6036866359447005
161	Not In PFAM	WN_ef	0.4093381686310064
162	Not In PFAM	WN_ef	0.2221774193548387
163	In PFAM	WN_ef	0.2381635581061693
164	In PFAM	WN_ef	0.5469271081467365
165	Not In PFAM	WN_ef	0.5458845789971618
166	Not In PFAM	WN_ef	0.5297805642633229
167	Not In PFAM	WN_ef	0.5995145631067961
168	Not In PFAM	WN_ef	0.2607218683651805
169	Not In PFAM	WN_ef	0.20339685169842586
170	Not In PFAM	WN_ef	0.6010752688172043
171	Not In PFAM	WN_ef	0.191079295154185
172	In PFAM	WN_ef	0.16470588235294115
173	In PFAM	WN_ef	0.6107673267326733
174	Not In PFAM	WN_ef	0.5602150537634408
175	Not In PFAM	WN_ef	0.34361702127659577
176	Not In PFAM	WN_ef	0.16728624535315986
177	In PFAM	WN_ef	0.19111111111111112
178	Not In PFAM	WN_ef	0.2339577520924671
179	Not In PFAM	WN_ef	0.8216519301272375
180	Not In PFAM	WN_ef	0.33840304182509506
181	In PFAM	WN_ef	0.2604166666666667
182	Not In PFAM	WN_ef	0.6967263743051266
183	Not In PFAM	WN_ef	0.3632301308649856
184	Not In PFAM	WN_ef	0.7110472541507025
185	Not In PFAM	WN_ef	0.1884422110552764
186	Not In PFAM	WN_ef	0.24210526315789474
187	In PFAM	WN_ef	0.1549165120593692
188	In PFAM	WN_ef	0.20507936507936508
189	Not In PFAM	WN_ef	0.2722731057452123
190	Not In PFAM	WN_ef	0.6279264214046822
191	Not In PFAM	WN_ef	0.14862681744749595
192	Not In PFAM	WN_ef	0.32748538011695905
193	Not In PFAM	WN_ef	0.4569961489088576
194	Not In PFAM	WN_ef	0.3906976744186047
195	Not In PFAM	WN_ef	0.16109422492401215
196	In PFAM	WN_ef	0.47834549878345506
197	In PFAM	WN_ef	0.18095238095238092
198	In PFAM	WN_ef	0.6652875465453041
199	Not In PFAM	WN_ef	0.13356164383561644
200	In PFAM	WN_ef	0.3470790378006873
201	Not In PFAM	WN_ef	0.2016806722689076
202	Not In PFAM	WN_ef	0.30854430379746833
203	Not In PFAM	WN_ef	0.2163187855787476
204	Not In PFAM	WN_ef	0.16666666666666666
205	Not In PFAM	WN_ef	0.3133971291866029
206	In PFAM	WN_ef	0.6229116945107399
207	Not In PFAM	WN_ef	0.2808798646362098
208	Not In PFAM	WN_ef	0.3679525222551929
209	Not In PFAM	WN_ef	0.6083408884859474
210	In PFAM	WN_ef	0.8328333133325333
211	In PFAM	WN_ef	0.7693514644351465
212	Not In PFAM	WN_ef	0.5001213886865744
213	Not In PFAM	WN_ef	0.8262286860581746
214	Not In PFAM	WN_ef	0.7048182864660417
215	Not In PFAM	WN_ef	0.15620641562064155
216	Not In PFAM	WN_ef	0.2745762711864407
217	Not In PFAM	WN_ef	0.16666666666666666
218	Not In PFAM	WN_ef	0.5892857142857143
219	Not In PFAM	WN_ef	0.21565641181845874
220	Not In PFAM	WN_ef	0.9237237237237236
221	Not In PFAM	WN_ef	0.46875
222	Not In PFAM	WN_ef	0.42930591259640105
223	Not In PFAM	WN_ef	0.20350877192982456
224	Not In PFAM	WN_ef	0.15873015873015872
225	In PFAM	WN_ef	0.3674418604651163
226	In PFAM	WN_ef	0.30772923667786845
227	Not In PFAM	WN_ef	0.4902769593400118
228	Not In PFAM	WN_ef	0.3730656629025512
229	Not In PFAM	WN_ef	0.1811062163485071
230	Not In PFAM	WN_ef	0.35728868926092283
231	Not In PFAM	WN_ef	0.12589073634204276
232	Not In PFAM	WN_ef	0.3690476190476191
233	In PFAM	WN_ef	0.20252525252525247
234	Not In PFAM	WN_ef	0.09171075837742504
235	Not In PFAM	WN_ef	0.09650924024640656
236	Not In PFAM	WN_ef	0.055276381909547735
237	Not In PFAM	WN_ef	0.3301435406698565
238	Not In PFAM	WN_ef	0.2595419847328244
239	In PFAM	WN_ef	0.19047619047619047
240	Not In PFAM	WN_ef	0.548728813559322
241	In PFAM	WN_ef	0.12344280860702153
242	Not In PFAM	WN_ef	0.14474180173388618
243	In PFAM	WN_ef	0.4428969359331476
244	In PFAM	WN_ef	0.3165680473372781
245	In PFAM	WN_ef	0.1821247892074199
246	In PFAM	WN_ef	0.26487747957993
247	In PFAM	WN_ef	0.5084151472650772
248	Not In PFAM	WN_ef	0.2566560170394036
249	Not In PFAM	WN_ef	0.6579097658480868
250	In PFAM	WN_ef	0.3834771886559803
251	Not In PFAM	WN_ef	0.1898162097017174
252	Not In PFAM	WN_ef	0.20866726031463345
253	Not In PFAM	WN_ef	0.22850503485670026
254	Not In PFAM	WN_ef	0.22156045265038712
255	In PFAM	WN_ef	0.5109070034443168
256	Not In PFAM	WN_ef	0.157942238267148
257	Not In PFAM	WN_ef	0.6412315930388219
258	Not In PFAM	WN_ef	0.4103864311942647
259	In PFAM	WN_ef	0.2759695722658685
260	In PFAM	WN_ef	0.11241830065359476
261	In PFAM	WN_ef	0.19133278822567454
262	In PFAM	WN_ef	0.17889087656529518
263	In PFAM	WN_ef	0.21069868995633187
264	Not In PFAM	WN_ef	0.3451443569553806
265	Not In PFAM	WN_ef	0.3173302107728337
266	Not In PFAM	WN_ef	0.3639871382636656
267	Not In PFAM	WN_ef	0.38060686015831136
268	Not In PFAM	WN_ef	0.6147435897435898
269	Not In PFAM	WN_ef	0.2878228782287823
270	Not In PFAM	WN_ef	0.4418331374853114
271	Not In PFAM	WN_ef	0.23771880293619424
272	Not In PFAM	WN_ef	0.2924145917776491
273	Not In PFAM	WN_ef	0.29593373493975905
274	Not In PFAM	WN_ef	0.5528717122920022
275	Not In PFAM	WN_ef	0.3084434233199311
276	Not In PFAM	WN_ef	0.2814070351758794
277	In PFAM	WN_ef	0.34098360655737703
278	In PFAM	WN_ef	0.266147859922179
279	Not In PFAM	WN_ef	0.10344827586206896
280	Not In PFAM	WN_ef	0.2152671755725191
281	Not In PFAM	WN_ef	0.7058362710536623
282	Not In PFAM	WN_ef	0.5895336418654326
283	Not In PFAM	WN_ef	0.4179714091218516
284	Not In PFAM	WN_ef	0.23069036226930964
285	Not In PFAM	WN_ef	0.7178294573643411
286	Not In PFAM	WN_ef	0.38064269319051264
287	In PFAM	WN_ef	0.19812583668005354
288	Not In PFAM	WN_ef	0.6391388174807198
289	Not In PFAM	WN_ef	0.5820348304307974
290	Not In PFAM	WN_ef	0.3136094674556213
291	Not In PFAM	WN_ef	0.5533175355450237
292	Not In PFAM	WN_ef	0.24239350912778904
293	Not In PFAM	WN_ef	0.4347368421052632
294	Not In PFAM	WN_ef	0.0872836719337848
295	Not In PFAM	WN_ef	0.18803418803418806
296	Not In PFAM	WN_ef	0.19868095630667765
297	Not In PFAM	WN_ef	0.21386861313868613
298	Not In PFAM	WN_ef	0.22215057230372398
299	Not In PFAM	WN_ef	0.28721656260269474
300	In PFAM	WN_ef	0.16208453016003282
301	Not In PFAM	WN_ef	0.15960230245944532
302	Not In PFAM	WN_ef	0.0904178674351585
303	Not In PFAM	WN_ef	0.5043227665706052
304	Not In PFAM	WN_ef	0.18667432510051696
305	Not In PFAM	WN_ef	0.16611295681063126
306	Not In PFAM	WN_ef	0.19278096800656275
307	Not In PFAM	WN_ef	0.10490693739424704
308	Not In PFAM	WN_ef	0.4687045123726346
309	Not In PFAM	WN_ef	0.362992125984252
310	Not In PFAM	WN_ef	0.44808743169398907
311	In PFAM	WN_ef	0.3508095605242868
312	In PFAM	WN_ef	0.36193029490616624
313	Not In PFAM	WN_ef	0.2989536621823617
314	In PFAM	WN_ef	0.2172413793103448
315	In PFAM	WN_ef	0.23294117647058826
316	Not In PFAM	WN_ef	0.28152866242038216
317	Not In PFAM	WN_ef	0.2462253193960511
318	Not In PFAM	WN_ef	0.17765567765567766
319	Not In PFAM	WN_ef	0.5657397871610024
320	Not In PFAM	WN_ef	0.18971351229415745
321	In PFAM	WN_ef	0.33668341708542715
322	Not In PFAM	WN_ef	0.4391988555078684
323	Not In PFAM	WN_ef	0.5379984951091046
324	Not In PFAM	WN_ef	0.2717889908256881
325	Not In PFAM	WN_ef	0.7703180212014135
326	In PFAM	WN_ef	0.22457282343368595
327	In PFAM	WN_ef	0.6376948512045347
328	Not In PFAM	WN_ef	0.6949720670391062
329	Not In PFAM	WN_ef	0.8783699059561129
330	Not In PFAM	WN_ef	0.6531746031746032
331	Not In PFAM	WN_ef	0.5774980330448466
332	In PFAM	WN_ef	0.9186418962203716
333	In PFAM	WN_ef	0.35043668122270744
334	Not In PFAM	WN_ef	0.2247451343836886
335	Not In PFAM	WN_ef	0.2596491228070175
336	In PFAM	WN_ef	0.19642857142857145
337	Not In PFAM	WN_ef	0.3444592790387183
338	Not In PFAM	WN_ef	0.23725055432372505
339	Not In PFAM	WN_ef	0.3663366336633663
340	In PFAM	WN_ef	0.2354330708661417
341	Not In PFAM	WN_ef	0.4576271186440678
342	In PFAM	WN_ef	0.21849522478453293
343	Not In PFAM	WN_ef	0.582995951417004
344	Not In PFAM	WN_ef	0.10235131396957124
345	Not In PFAM	WN_ef	0.5122324159021406
346	Not In PFAM	WN_ef	0.13385826771653545
347	Not In PFAM	WN_ef	0.3026269702276708
348	Not In PFAM	WN_ef	0.3582577132486389
349	In PFAM	WN_ef	0.2378048780487805
350	In PFAM	WN_ef	0.4057971014492754
351	Not In PFAM	WN_ef	0.118210405946255
352	Not In PFAM	WN_ef	0.19569612940496825
353	Not In PFAM	WN_ef	0.6447793326157158
354	Not In PFAM	WN_ef	0.6998207885304659
355	Not In PFAM	WN_ef	0.30781373322809785
356	Not In PFAM	WN_ef	0.6342975206611571
357	Not In PFAM	WN_ef	0.564453125
358	Not In PFAM	WN_ef	0.6266766020864382
359	In PFAM	WN_ef	0.16317991631799164
360	In PFAM	WN_ef	0.5615678113076656
361	In PFAM	WN_ef	0.36018957345971564
362	Not In PFAM	WN_ef	0.6240601503759399
363	Not In PFAM	WN_ef	0.4233937397034596
364	Not In PFAM	WN_ef	0.2816326530612245
365	In PFAM	WN_ef	0.215210355987055
366	In PFAM	WN_ef	0.12776831345826234
367	In PFAM	WN_ef	0.17466110531803966
368	In PFAM	WN_ef	0.5404312668463612
369	In PFAM	WN_ef	0.4947916666666667
370	Not In PFAM	WN_ef	0.1839557399723375
371	In PFAM	WN_ef	0.235632183908046
372	Not In PFAM	WN_ef	0.5035913806863528
373	In PFAM	WN_ef	0.4393153526970954
374	Not In PFAM	WN_ef	0.26791277258566976
375	Not In PFAM	WN_ef	0.14338235294117646
376	Not In PFAM	WN_ef	0.2796791443850267
377	Not In PFAM	WN_ef	0.14251781472684086
378	Not In PFAM	WN_ef	0.13582342954159593
379	Not In PFAM	WN_ef	0.27827380952380953
380	Not In PFAM	WN_ef	0.3006482982171799
381	In PFAM	WN_ef	0.1157495256166983
382	In PFAM	WN_ef	0.2757475083056478
383	Not In PFAM	WN_ef	0.1722900215362527
384	In PFAM	WN_ef	0.2671181339352897
385	In PFAM	WN_ef	0.2127039627039627
386	Not In PFAM	WN_ef	0.16741573033707866
387	In PFAM	WN_ef	0.22826086956521735
388	In PFAM	WN_ef	0.2274678111587983
389	In PFAM	WN_ef	0.7894736842105263
390	Not In PFAM	WN_ef	0.30787037037037035
391	In PFAM	WN_ef	0.3500496524329692
392	In PFAM	WN_ef	0.3142076502732241
393	In PFAM	WN_ef	0.2366863905325444
394	Not In PFAM	WN_ef	0.308411214953271
395	Not In PFAM	WN_ef	0.4697986577181208
396	Not In PFAM	WN_ef	0.19669117647058826
397	Not In PFAM	WN_ef	0.2841976316864026
398	In PFAM	WN_ef	0.3038927052666012
399	Not In PFAM	WN_ef	0.4149149149149149
400	Not In PFAM	WN_ef	0.5589041095890411
401	Not In PFAM	WN_ef	0.25991902834008096
402	In PFAM	WN_ef	0.4065116279069768
403	Not In PFAM	WN_ef	0.2280405405405405
404	Not In PFAM	WN_ef	0.2675324675324675
405	Not In PFAM	WN_ef	0.2579650565262076
406	In PFAM	WN_ef	0.11092436974789917
407	In PFAM	WN_ef	0.4874371859296482
408	In PFAM	WN_ef	0.17065868263473055
409	In PFAM	WN_ef	0.3548387096774194
410	Not In PFAM	WN_ef	0.2008032128514056
411	Not In PFAM	WN_ef	0.2859638178415471
412	In PFAM	WN_ef	0.1571627260083449
413	In PFAM	WN_ef	0.17012987012987013
414	In PFAM	WN_ef	0.11994784876140807
415	In PFAM	WN_ef	0.4765027322404372
416	In PFAM	WN_ef	0.14752252252252251
417	Not In PFAM	WN_ef	0.3224254090471607
418	Not In PFAM	WN_ef	0.10358565737051792
419	Not In PFAM	WN_ef	0.3230010567101092
420	In PFAM	WN_ef	0.3597733711048159
421	In PFAM	WN_ef	0.2545103092783505
422	In PFAM	WN_ef	0.2206776715899218
423	In PFAM	WN_ef	0.2333783580969533
424	Not In PFAM	WN_ef	0.3865546218487395
425	Not In PFAM	WN_ef	0.22943722943722944
426	Not In PFAM	WN_ef	0.5194598888006354
427	Not In PFAM	WN_ef	0.6035447761194029
428	Not In PFAM	WN_ef	0.3393242271746945
429	In PFAM	WN_ef	0.21214285714285716
430	In PFAM	WN_ef	0.38375350140056025
431	In PFAM	WN_ef	0.26913875598086123
432	Not In PFAM	WN_ef	0.20359281437125748
433	Not In PFAM	WN_ef	0.5306122448979592
434	In PFAM	WN_ef	0.2475288303130148
435	In PFAM	WN_ef	0.3408333333333333
436	In PFAM	WN_ef	0.1777893639207508
437	In PFAM	WN_ef	0.1111111111111111
438	Not In PFAM	WN_ef	0.31309904153354634
439	In PFAM	WN_ef	0.8158423069903267
440	Not In PFAM	WN_ef	0.19258589511754068
441	Not In PFAM	WN_ef	0.2127545551982851
442	In PFAM	WN_ef	0.1852207293666027
443	Not In PFAM	WN_ef	0.16192560175054704
444	In PFAM	WN_ef	0.16905444126074498
445	In PFAM	WN_ef	0.3649754500818331
446	In PFAM	WN_ef	0.4648152506472111
447	In PFAM	WN_ef	0.20970042796005706
448	In PFAM	WN_ef	0.12777777777777774
449	In PFAM	WN_ef	0.13766233766233765
450	In PFAM	WN_ef	0.2043429844097996
451	In PFAM	WN_ef	0.524822695035461
452	In PFAM	WN_ef	0.5435356200527705
453	In PFAM	WN_ef	0.5303748384317105
454	Not In PFAM	WN_ef	0.8613317043372022
455	Not In PFAM	WN_ef	0.13815261044176708
456	Not In PFAM	WN_ef	0.1167381974248927
457	Not In PFAM	WN_ef	0.1480117820324006
458	In PFAM	WN_ef	0.3696522993110079
459	In PFAM	WN_ef	0.0671462829736211
460	Not In PFAM	WN_ef	0.3303370786516854
461	Not In PFAM	WN_ef	0.13406593406593406
462	Not In PFAM	WN_ef	0.4474708171206226
463	Not In PFAM	WN_ef	0.5393700787401575
464	Not In PFAM	WN_ef	0.6066433566433567
465	In PFAM	WN_ef	0.4938271604938271
466	In PFAM	WN_ef	0.09956709956709957
467	Not In PFAM	WN_ef	0.3448275862068966
468	Not In PFAM	WN_ef	0.4090909090909091
469	In PFAM	WN_ef	0.5044247787610621
470	Not In PFAM	WN_ef	0.2277580071174377
471	Not In PFAM	WN_ef	0.16803953871499178
472	Not In PFAM	WN_ef	0.4593406593406593
473	In PFAM	WN_ef	0.2833333333333333
474	Not In PFAM	WN_ef	0.13541666666666666
475	In PFAM	WN_ef	0.7579841781423967
476	In PFAM	WN_ef	0.2747516272696129
477	In PFAM	WN_ef	0.7815816501198221
478	In PFAM	WN_ef	0.365563406470807
479	In PFAM	WN_ef	0.5282691640652099
480	In PFAM	WN_ef	0.1822429906542056
481	Not In PFAM	WN_ef	0.2855764592378196
482	In PFAM	WN_ef	0.354933110367893
483	Not In PFAM	WN_ef	0.29325699745547074
484	Not In PFAM	WN_ef	0.5841584158415841
485	In PFAM	WN_ef	0.2406181015452539
486	Not In PFAM	WN_ef	0.12874251497005987
487	Not In PFAM	WN_ef	0.3955901426718547
488	Not In PFAM	WN_ef	0.4490979381443299
489	Not In PFAM	WN_ef	0.5331998665331998
490	Not In PFAM	WN_ef	0.2014166923313828
491	Not In PFAM	WN_ef	0.10704505850136918
492	Not In PFAM	WN_ef	0.3302752293577982
493	Not In PFAM	WN_ef	0.8884083044982699
494	In PFAM	WN_ef	0.798845836768343
495	Not In PFAM	WN_ef	0.1812720848056537
496	In PFAM	WN_ef	0.11254396248534584
497	In PFAM	WN_ef	0.2542372881355932
498	In PFAM	WN_ef	0.25
499	Not In PFAM	WN_ef	0.2951456310679612
500	In PFAM	WN_ef	0.3501006036217304
501	In PFAM	WN_ef	0.4191176470588235
502	In PFAM	WN_ef	0.5455341506129597
503	Not In PFAM	WN_ef	0.2323340471092077
504	Not In PFAM	WN_ef	0.7883597883597884
505	Not In PFAM	WN_ef	0.710261569416499
506	Not In PFAM	WN_ef	0.2604878048780488
507	Not In PFAM	WN_ef	0.21934127540294324
508	Not In PFAM	WN_ef	0.5429200293470287
509	Not In PFAM	WN_ef	0.5176933158584535
510	In PFAM	WN_ef	0.13691219309196834
511	In PFAM	WN_ef	0.4854138398914518
512	Not In PFAM	WN_ef	0.4528301886792453
513	Not In PFAM	WN_ef	0.2369878183831672
514	Not In PFAM	WN_ef	0.10801526717557253
515	In PFAM	WN_ef	0.16501103752759386
516	Not In PFAM	WN_ef	0.23376623376623376
517	Not In PFAM	WN_ef	0.14102564102564102
518	In PFAM	WN_ef	0.3371798123256404
519	In PFAM	WN_ef	0.4521841794569068
520	Not In PFAM	WN_ef	0.3609341825902335
521	Not In PFAM	WN_ef	0.5484429065743944
522	Not In PFAM	WN_ef	0.39922854387656703
523	Not In PFAM	WN_ef	0.3739632167327804
524	Not In PFAM	WN_ef	0.32705296836118025
525	Not In PFAM	WN_ef	0.1930783242258652
526	Not In PFAM	WN_ef	0.2781799379524302
527	In PFAM	WN_ef	0.20900594732370434
528	Not In PFAM	WN_ef	0.5610278372591007
529	Not In PFAM	WN_ef	0.2036496350364964
530	Not In PFAM	WN_ef	0.3158798283261803
531	Not In PFAM	WN_ef	0.5332889480692411
532	Not In PFAM	WN_ef	0.4759036144578313
533	Not In PFAM	WN_ef	0.7607602012297373
534	In PFAM	WN_ef	0.2785425101214575
535	Not In PFAM	WN_ef	0.4686648501362398
536	Not In PFAM	WN_ef	0.2451205510907004
537	Not In PFAM	WN_ef	0.1464750171115674
538	In PFAM	WN_ef	0.2028985507246377
539	In PFAM	WN_ef	0.0718132854578097
540	Not In PFAM	WN_ef	0.19245283018867929
541	Not In PFAM	WN_ef	0.4630541871921182
542	Not In PFAM	WN_ef	0.7099567099567099
543	In PFAM	WN_ef	0.14285714285714285
544	In PFAM	WN_ef	0.2009685230024213
545	Not In PFAM	WN_ef	0.6288659793814433
546	Not In PFAM	WN_ef	0.4240506329113924
547	Not In PFAM	WN_ef	0.08722741433021806
548	In PFAM	WN_ef	0.32589285714285715
549	Not In PFAM	WN_ef	0.2631578947368421
550	Not In PFAM	WN_ef	0.4832347140039448
551	Not In PFAM	WN_ef	0.31746031746031744
552	Not In PFAM	WN_ef	0.5963718820861678
553	Not In PFAM	WN_ef	0.2587548638132296
554	Not In PFAM	WN_ef	0.3550420168067227
555	Not In PFAM	WN_ef	0.24660633484162894
556	In PFAM	WN_ef	0.15382361558745972
557	In PFAM	WN_ef	0.4020033388981636
558	In PFAM	WN_ef	0.2963917525773196
559	In PFAM	WN_ef	0.50132362673726
560	In PFAM	WN_ef	0.5618405627198124
561	In PFAM	WN_ef	0.35815842924847663
562	Not In PFAM	WN_ef	0.1883942766295708
563	Not In PFAM	WN_ef	0.3738124741842214
564	Not In PFAM	WN_ef	0.6640552995391705
565	Not In PFAM	WN_ef	0.5434288312869486
566	In PFAM	WN_ef	0.7493759360958562
567	In PFAM	WN_ef	0.8151483050847458
568	In PFAM	WN_ef	0.4682686383240912
569	In PFAM	WN_ef	0.6780669144981413
570	In PFAM	WN_ef	0.5544217687074829
571	In PFAM	WN_ef	0.1369472182596291
572	In PFAM	WN_ef	0.3050139275766017
573	In PFAM	WN_ef	0.32235294117647056
574	Not In PFAM	WN_ef	0.3709677419354839
575	Not In PFAM	WN_ef	0.4605486768633164
576	Not In PFAM	WN_ef	0.7133531157270029
577	Not In PFAM	WN_ef	0.7163053722902922
