	ID	Edit_type	Effect	WN_ef	WNN_ef	WN_dp	WNN_dp
240	Dpe01:13540387	Neural	3'	0.3804878048780488	0.04830917874396135	410	621
246	Dpe01:13540703	Ubiq-Med	3'	0.05555555555555555	0.05555555555555555	72	180
247	Dpe01:13540709	Neural	3'	0.46	0.04819277108433735	50	166
248	Dpe01:13540710	Neural	3'	0.66	0.03636363636363636	50	165
249	Dpe01:13540719	Ubiq-Med	3'	0.5333333333333333	0.5789473684210527	15	57
252	Dpe01:13540788	Neural	3'	0.5693430656934306	0.3003901170351105	137	769
253	Dpe01:13540789	Neural	3'	0.2463768115942029	0.15727391874180865	138	763
254	Dpe01:13540792	Ubiq-Med	3'	0.05960264900662252	0.04479418886198548	151	826
255	Dpe01:13540801	Ubiq-Med	3'	0.2558139534883721	0.4137931034482759	215	957
256	Dpe01:13540810	Neural	3'	0.15966386554621848	0.045186640471512766	238	1018
257	Dpe01:13540813	Neural	3'	0.15163934426229508	0.05431619786614937	244	1031
258	Dpe01:13540814	Neural	3'	0.4453441295546559	0.18375241779497095	247	1034
259	Dpe01:13540815	Ubiq-Med	3'	0.07692307692307693	0.06395348837209303	247	1032
261	Dpe01:13540822	Ubiq-Low	3'	0.032679738562091505	0.03211009174311927	306	1090
263	Dpe01:13540834	Neural	3'	0.31007751937984496	0.12246553122465532	387	1233
266	Dpe01:13540956	Ubiq-Low	3'	0.03460837887067395	0.030377668308702793	549	1218
267	Dpe01:13540976	Ubiq-High	3'	0.8520710059171598	0.9189189189189191	338	814
268	Dpe01:13540987	Neural	3'	0.8197879858657244	0.22657342657342655	283	715
269	Dpe01:13541031	Ubiq-Low	3'	0.03448275862068965	0.033210332103321034	116	271
270	Dpe01:13541040	Ubiq-Med	3'	0.2125984251968504	0.3298611111111111	127	288
271	Dpe01:13541049	Neural	3'	0.6190476190476191	0.15555555555555556	147	360
272	Dpe01:13541052	Neural	3'	0.05063291139240506	0.02387267904509284	158	377
273	Dpe01:13541058	Neural	3'	0.08791208791208792	0.034722222222222224	182	432
274	Dpe01:13541061	Neural	3'	0.2154696132596685	0.013761467889908258	181	436
286	Dpe01:13541585	Neural	3'	0.3591654247391952	0.019216555801921657	671	1353
312	Dpe01:13542256	Ubiq-Low	3'	0.045454545454545456	0.02022653721682848	572	1236
313	Dpe01:13542953	Ubiq-Low	Syn	0.027027027027027032	0.017333333333333333	333	750
343	Dpe01:14236086	Neural	Rec	0.7904761904761904	0.125	210	216
349	Dpe01:14236849	Neural	Rec	0.6035502958579881	0.03260869565217391	169	184
352	Dpe01:14242216	Neural	Rec	0.8	0.2962962962962963	145	162
356	Dpe01:14242493	Neural	Rec	0.31016042780748665	0.011049723756906077	187	181
365	Dpe01:14249355	Neural	Rec	0.6330275229357798	0.011428571428571429	109	175
382	Dpe01:14257412	Neural	Syn	0.7045454545454546	0.0182648401826484	176	219
384	Dpe01:14261971	Neural	Rec	0.7083333333333334	0.03289473684210526	144	152
386	Dpe01:14765539	Neural	Rec	0.6645962732919255	0.020270270270270268	161	148
387	Dpe01:14765645	Neural	Syn	0.5862068965517241	0.012345679012345678	145	162
394	Dpe01:14766790	Neural	Rec	0.21348314606741567	0.021428571428571432	89	140
406	Dpe01:21562716	Ubiq-Med	5'	0.04166666666666666	0.13333333333333333	24	45
414	Dpe01:23881867	Neural	3'	0.2530120481927711	0.05	166	280
416	Dpe01:23881878	Neural	3'	0.6232876712328768	0.1328125	146	256
467	Dpe01:24130084	Neural	3'	0.4601226993865031	0.13450292397660818	326	513
468	Dpe01:24130085	Neural	3'	0.50625	0.2475633528265107	320	513
469	Dpe01:24130090	Ubiq-Med	3'	0.014652014652014654	0.072992700729927	273	411
470	Dpe01:24130091	Ubiq-Low	3'	0.04104477611940298	0.031862745098039214	268	408
471	Dpe01:24130123	Neural	3'	0.08856088560885607	0.036414565826330535	271	357
473	Dpe01:24130201	Ubiq-Med	3'	0.2119815668202765	0.2859097127222982	434	731
475	Dpe01:24130206	Neural	3'	0.13942307692307693	0.017639077340569874	416	737
477	Dpe01:24130214	Ubiq-Med	3'	0.2347560975609756	0.3389570552147239	328	652
478	Dpe01:24130216	Ubiq-Low	3'	0.02803738317757009	0.03674121405750799	321	626
479	Dpe01:24130219	Ubiq-High	3'	1.0	1.0	314	613
480	Dpe01:24130231	Ubiq-Med	3'	0.15428571428571428	0.11442786069651742	350	603
481	Dpe01:24130234	Ubiq-High	3'	0.7220543806646526	0.6024096385542169	331	581
482	Dpe01:24130239	Neural	3'	0.3209549071618037	0.14400000000000002	377	625
483	Dpe01:24130245	Neural	3'	0.13022113022113022	0.012139605462822459	407	659
486	Dpe01:24130609	Ubiq-Low	3'	0.02763636363636364	0.027846534653465347	1375	1616
550	Dpe01:24239756	Ubiq-Med	Intron	0.04891304347826087	0.25	368	20
556	Dpe01:24239832	Ubiq-Med	Intron	0.038314176245210725	0.09090909090909093	261	11
562	Dpe01:24240026	Ubiq-Med	Intron	0.031407035175879394	0.1	796	30
589	Dpe01:24251465	Neural	Rec	0.061624649859943974	0.012345679012345678	357	81
590	Dpe01:24251466	Neural	Rec	0.34688346883468835	0.012195121951219513	369	82
702	Dpe01:28182964	Ubiq-Med	Syn	0.05	0.08565737051792828	20	502
703	Dpe01:28224334	Neural	3'	0.25806451612903225	0.012658227848101266	124	158
705	Dpe01:28224351	Neural	3'	0.5204081632653061	0.020134228187919462	98	149
706	Dpe01:28224372	Neural	3'	0.10465116279069768	0.05785123966942149	86	121
707	Dpe01:28224398	Ubiq-Med	3'	0.0975609756097561	0.08256880733944955	82	109
708	Dpe01:28224412	Ubiq-Med	3'	0.5	0.5252525252525253	76	99
712	Dpe01:28224812	Neural	3'	0.5198776758409785	0.01492537313432836	327	335
716	Dpe01:28225054	Neural	3'	0.11199999999999999	0.04225352112676056	125	142
717	Dpe01:28225060	Ubiq-Med	3'	0.04861111111111111	0.054545454545454536	144	165
718	Dpe01:28225062	Ubiq-Med	3'	0.053691275167785234	0.03977272727272727	149	176
719	Dpe01:28225068	Neural	3'	0.25	0.07734806629834254	164	181
720	Dpe01:28225072	Ubiq-Low	3'	0.03389830508474576	0.02083333333333333	177	192
721	Dpe01:28225076	Neural	3'	0.15053763440860216	0.042105263157894736	186	190
757	Dpe01:28390830	Neural	3'	0.75	0.03571428571428571	60	84
762	Dpe01:28405698	Neural	Intron	0.18823529411764706	0.030303030303030307	170	33
765	Dpe01:28405710	Neural	Intron	0.09333333333333334	0.047619047619047616	75	21
766	Dpe01:28405993	Ubiq-Med	Intron	0.060465116279069774	0.06451612903225806	215	62
767	Dpe01:28405996	Ubiq-Med	Intron	0.13215859030837004	0.11940298507462685	227	67
768	Dpe01:28406006	Ubiq-Med	Intron	0.09737827715355804	0.19230769230769232	267	78
769	Dpe01:28406012	Ubiq-Med	Intron	0.13213213213213212	0.21212121212121213	333	99
770	Dpe01:28406015	Ubiq-Med	Intron	0.07268170426065163	0.08849557522123894	399	113
771	Dpe01:28406022	Ubiq-High	Intron	0.7920560747663551	0.7966101694915254	428	118
773	Dpe01:28406032	Ubiq-Low	Intron	0.043478260869565216	0.04310344827586207	437	116
774	Dpe01:28406033	Neural	Intron	0.4149184149184149	0.1724137931034483	429	116
775	Dpe01:28406040	Neural	SJ	0.17819706498951782	0.05691056910569105	477	123
776	Dpe01:28406041	Neural	SJ	0.07784431137724551	0.016	501	125
806	Dpe01:28460354	Neural	Rec	0.5694444444444444	0.01485148514851485	1944	606
853	Dpe01:28464465	Ubiq-Low	Intron	0.010869565217391304	0.01276595744680851	1380	235
860	Dpe01:28464632	Neural	Intron	0.7881773399014779	0.06470588235294117	1015	170
864	Dpe01:28464646	Ubiq-Low	Intron	0.03345070422535211	0.010471204188481676	1136	191
868	Dpe01:28464721	Neural	Intron	0.3642121931908155	0.02358490566037736	2526	424
892	Dpe01:29450173	Neural	Rec	0.2155025553662692	0.015827338129496403	1174	2085
923	Dpe01:29488219	Neural	Syn	0.05784526391901663	0.01606145251396648	1383	1432
926	Dpe01:29944125	Ubiq-Low	Rec	0.03836317135549872	0.012605042016806723	391	238
927	Dpe01:29947118	Neural	Rec	0.11428571428571427	0.024193548387096774	315	248
929	Dpe01:29947281	Neural	Rec	0.134375	0.027906976744186046	320	215
930	Dpe01:29947713	Neural	Rec	0.08069164265129683	0.016194331983805668	347	247
951	Dpe01:30375025	Neural	3'	0.16923076923076924	0.012195121951219513	130	82
982	Dpe01:30622104	Neural	3'	0.6631330977620731	0.08112874779541446	849	567
983	Dpe01:30622175	Ubiq-Med	3'	0.058510638297872335	0.06130268199233716	376	261
984	Dpe01:30622178	Ubiq-Med	3'	0.07242339832869081	0.06808510638297872	359	235
985	Dpe01:30622181	Ubiq-Med	3'	0.05607476635514018	0.05555555555555555	321	216
986	Dpe01:30622191	Neural	3'	0.1341991341991342	0.07692307692307693	231	156
987	Dpe01:30622192	Ubiq-Med	3'	0.13733905579399142	0.1139240506329114	233	158
988	Dpe01:30622193	Ubiq-Med	3'	0.0611353711790393	0.05128205128205128	229	156
989	Dpe01:30622199	Ubiq-Med	3'	0.15428571428571428	0.13333333333333333	175	120
991	Dpe01:30677491	Ubiq-Low	3'	0.012578616352201259	0.046948356807511735	159	1278
1001	Dpe01:30741032	Ubiq-Low	Intron	0.04166666666666666	0.01635220125786164	24	795
1002	Dpe01:30741070	Neural	Intron	0.1875	0.07963709677419355	32	992
1010	Dpe01:30780637	Ubiq-Med	5'	0.125	0.12555066079295155	168	1816
1011	Dpe01:30815313	Ubiq-High	Intron	0.8421052631578947	0.9302325581395348	19	43
1012	Dpe01:30815314	Ubiq-Med	Intron	0.3888888888888889	0.39130434782608703	18	46
1013	Dpe01:30815318	Ubiq-Med	Intron	0.2	0.4523809523809524	20	42
1014	Dpe01:30815508	Ubiq-Med	Intron	0.2903225806451613	0.26666666666666666	62	120
1015	Dpe01:30815512	Ubiq-Med	Intron	0.12903225806451613	0.16393442622950818	62	122
1016	Dpe01:30815513	Ubiq-Med	Intron	0.4307692307692308	0.4201680672268908	65	119
1017	Dpe01:30815514	Ubiq-Med	Intron	0.032786885245901634	0.10256410256410256	61	117
1018	Dpe01:30815515	Ubiq-Med	Intron	0.060606060606060615	0.14285714285714285	66	119
1019	Dpe01:30815522	Ubiq-Med	Intron	0.054054054054054064	0.11851851851851852	74	135
1020	Dpe01:30815726	Ubiq-Med	Intron	0.05194805194805195	0.11888111888111888	77	143
1021	Dpe01:30815897	Ubiq-Med	Intron	0.07865168539325842	0.13970588235294118	89	136
1022	Dpe01:30815906	Ubiq-Med	Intron	0.10344827586206896	0.08461538461538462	87	130
1023	Dpe01:30815927	Ubiq-Med	Intron	0.2906976744186047	0.34959349593495936	86	123
1028	Dpe01:31036580	Neural	3'	0.375	0.010256410256410256	24	195
1047	Dpe01:31550723	Neural	3'	0.06194690265486725	0.03571428571428571	113	56
1049	Dpe01:31551117	Neural	3'	0.09433962264150944	0.017857142857142856	106	56
1066	Dpe01:31583144	Neural	Syn	0.3877551020408163	0.0311284046692607	294	257
1075	Dpe01:31660506	Ubiq-Med	Intron	0.45	0.34210526315789475	20	38
1221	Dpe01:31682614	Neural	3'	0.2642857142857143	0.013513513513513514	140	148
1223	Dpe01:31718992	Neural	Rec	0.1605839416058394	0.0198019801980198	411	606
1259	Dpe01:31964118	Neural	3'	0.22271714922049002	0.03664921465968586	449	191
1260	Dpe01:31964119	Neural	3'	0.35253456221198154	0.0427807486631016	434	187
1264	Dpe01:31964824	Ubiq-Low	3'	0.03313253012048193	0.0176678445229682	664	283
1265	Dpe01:31967544	Ubiq-Med	5'	0.08823529411764706	0.3076923076923077	68	26
1266	Dpe01:31967545	Ubiq-Med	5'	0.0967741935483871	0.3478260869565217	62	23
1267	Dpe01:31967589	Ubiq-Med	5'	0.12149532710280375	0.20512820512820512	107	39
1268	Dpe01:31967590	Ubiq-Med	5'	0.23423423423423426	0.4615384615384616	111	39
1269	Dpe01:31967592	Neural	5'	0.11009174311926606	0.02631578947368421	109	38
1270	Dpe01:31967593	Ubiq-Med	5'	0.17592592592592593	0.1794871794871795	108	39
1271	Dpe01:31967605	Ubiq-Med	5'	0.5021459227467812	0.5862068965517241	233	116
1272	Dpe01:31967611	Neural	5'	0.11428571428571427	0.052910052910052914	420	189
1273	Dpe01:31967617	Ubiq-Med	5'	0.22912621359223298	0.3087557603686636	515	217
1274	Dpe01:31967618	Ubiq-Med	5'	0.07100591715976333	0.0684931506849315	507	219
1275	Dpe01:31967619	Ubiq-Med	5'	0.032818532818532815	0.07272727272727272	518	220
1279	Dpe01:31967672	Neural	5'	0.407905803195963	0.2548262548262548	1189	518
1281	Dpe01:31967683	Ubiq-Low	5'	0.046215139442231074	0.029304029304029307	1255	546
1282	Dpe01:31967686	Ubiq-Med	5'	0.11811023622047245	0.09057971014492754	1270	552
1287	Dpe01:31967717	Ubiq-Low	5'	0.020508613617719443	0.016728624535315983	1219	538
1288	Dpe01:31967721	Ubiq-Low	5'	0.01050080775444265	0.02010968921389397	1238	547
1290	Dpe01:31967724	Ubiq-Low	5'	0.03817427385892117	0.024208566108007448	1205	537
1291	Dpe01:31967727	Ubiq-High	5'	0.6392857142857142	0.6274900398406374	1120	502
1293	Dpe01:31967745	Ubiq-Low	5'	0.03333333333333333	0.015350877192982457	960	456
1294	Dpe01:31967748	Ubiq-Low	5'	0.026755852842809364	0.04096385542168675	897	415
1295	Dpe01:31967755	Ubiq-High	5'	0.6894664842681258	0.5028248587570622	731	354
1296	Dpe01:31967759	Ubiq-Low	5'	0.049875311720698264	0.022222222222222227	401	180
1298	Dpe01:31967762	Ubiq-Med	5'	0.08933002481389578	0.15384615384615385	403	182
1300	Dpe01:31967769	Ubiq-Med	5'	0.5451388888888888	0.5132978723404256	864	376
1301	Dpe01:31967774	Ubiq-Low	5'	0.0193621867881549	0.023316062176165803	878	386
1306	Dpe01:31968033	Neural	5'	0.12162162162162166	0.01694915254237288	222	59
1308	Dpe01:31968271	Neural	Rec	0.5963855421686747	0.11428571428571427	166	35
1309	Dpe01:31968272	Neural	Rec	0.19883040935672516	0.08823529411764706	171	34
1310	Dpe01:31968276	Neural	Syn	0.06593406593406594	0.027027027027027032	182	37
1317	Dpe01:31968621	Neural	3'	0.1444043321299639	0.015625	277	64
1322	Dpe01:32094859	Neural	Rec	0.05084745762711865	0.015151515151515154	118	264
1325	Dpe01:32097357	Neural	3'	0.5735294117647058	0.15555555555555556	68	45
1326	Dpe01:32098304	Neural	3'	0.2195121951219512	0.12	41	25
1327	Dpe01:32098360	Neural	3'	0.7169811320754716	0.21052631578947367	53	38
1328	Dpe01:32098361	Neural	3'	0.3461538461538461	0.15789473684210525	52	38
1346	Dpe01:32223056	Neural	3'	0.2	0.038461538461538464	215	312
1380	Dpe01:33018426	Neural	3'	0.22822822822822825	0.022727272727272728	333	264
1381	Dpe01:33018474	Ubiq-Low	3'	0.0443213296398892	0.021505376344086027	361	279
1382	Dpe01:33018476	Ubiq-Med	3'	0.10434782608695653	0.12454212454212454	345	273
1383	Dpe01:33018488	Ubiq-Med	3'	0.20615384615384616	0.20912547528517111	325	263
1384	Dpe01:33018498	Ubiq-Low	3'	0.02711864406779661	0.011320754716981131	295	265
1385	Dpe01:33018507	Ubiq-Low	3'	0.02922077922077922	0.018115942028985508	308	276
1386	Dpe01:33018511	Ubiq-Med	3'	0.4172413793103448	0.5490196078431373	290	255
1388	Dpe01:33018562	Neural	3'	0.3345323741007194	0.07716049382716049	278	324
1389	Dpe01:33018580	Ubiq-Med	3'	0.08012820512820512	0.11041009463722397	312	317
1390	Dpe01:33018585	Ubiq-Med	3'	0.06796116504854369	0.08090614886731391	309	309
1391	Dpe01:33018587	Ubiq-High	3'	0.8398692810457516	0.9006622516556292	306	302
1392	Dpe01:33018600	Ubiq-Med	3'	0.371900826446281	0.31805929919137466	363	371
1393	Dpe01:33018612	Ubiq-High	3'	0.6463022508038585	0.6349693251533742	311	326
1394	Dpe01:33018617	Ubiq-Low	3'	0.04093567251461988	0.02881844380403458	342	347
1395	Dpe01:33018619	Ubiq-Low	3'	0.015706806282722512	0.02056555269922879	382	389
1396	Dpe01:33018628	Neural	3'	0.1152073732718894	0.033860045146726865	434	443
1397	Dpe01:33018636	Neural	3'	0.05827505827505827	0.03827751196172249	429	418
1398	Dpe01:33018776	Neural	3'	0.10752688172043012	0.05263157894736842	93	114
1400	Dpe01:33019118	Neural	3'	0.08495145631067963	0.05434782608695652	412	368
1401	Dpe01:33019180	Neural	3'	0.869942196531792	0.3457943925233645	346	321
1406	Dpe01:33019293	Ubiq-Low	3'	0.025735294117647058	0.02054794520547945	272	292
1408	Dpe01:33019295	Ubiq-Med	3'	0.07835820895522387	0.05923344947735192	268	287
1409	Dpe01:33019349	Ubiq-Med	3'	0.14393939393939395	0.2627118644067797	132	118
1410	Dpe01:33019354	Ubiq-Med	3'	0.07142857142857142	0.14414414414414414	126	111
1411	Dpe01:33019419	Ubiq-Med	3'	0.08333333333333333	0.1702127659574468	48	47
1412	Dpe01:33019427	Ubiq-High	3'	0.8653846153846154	0.7592592592592593	52	54
1413	Dpe01:33019428	Ubiq-Med	3'	0.3888888888888889	0.5740740740740741	54	54
1414	Dpe01:33019435	Neural	3'	0.2608695652173913	0.05263157894736842	69	76
1415	Dpe01:33019436	Neural	3'	0.18571428571428567	0.061728395061728385	70	81
1417	Dpe01:33019518	Neural	3'	0.2558139534883721	0.09722222222222222	43	72
1418	Dpe01:33019527	Ubiq-Med	3'	0.1875	0.18181818181818185	32	55
1419	Dpe01:33019528	Neural	3'	0.18181818181818185	0.03508771929824561	33	57
1420	Dpe01:33019650	Ubiq-Med	3'	0.046875	0.1914893617021277	64	47
1421	Dpe01:33019652	Ubiq-Med	3'	0.08955223880597014	0.19607843137254904	67	51
1422	Dpe01:33019662	Ubiq-Med	3'	0.06140350877192983	0.07936507936507936	114	126
1423	Dpe01:33019663	Ubiq-Med	3'	0.032786885245901634	0.07142857142857142	122	126
1424	Dpe01:33019665	Ubiq-Med	3'	0.055999999999999994	0.0583941605839416	125	137
1425	Dpe01:33019672	Ubiq-Med	3'	0.05263157894736842	0.05521472392638037	152	163
1426	Dpe01:33019673	Neural	3'	0.4342105263157895	0.10365853658536583	152	164
1427	Dpe01:33019674	Neural	3'	0.17105263157894735	0.03658536585365853	152	164
1428	Dpe01:33019675	Neural	3'	0.06451612903225806	0.035502958579881665	155	169
1435	Dpe01:33019985	Neural	3'	0.4507575757575758	0.05542725173210162	528	433
1438	Dpe01:33020046	Ubiq-Low	3'	0.010080645161290322	0.01569506726457399	496	446
1439	Dpe01:33020049	Neural	3'	0.08811475409836066	0.018648018648018648	488	429
1440	Dpe01:33020053	Neural	3'	0.4854771784232365	0.16258351893095768	482	449
1441	Dpe01:33020059	Ubiq-High	3'	0.7468354430379747	0.7875	474	400
1442	Dpe01:33020062	Ubiq-Med	3'	0.16075156576200414	0.3366093366093366	479	407
1443	Dpe01:33020076	Ubiq-Med	3'	0.03544776119402985	0.055684454756380515	536	431
1444	Dpe01:33020082	Ubiq-Med	3'	0.2844175491679274	0.27944111776447106	661	501
1445	Dpe01:33020088	Ubiq-Med	3'	0.0970464135021097	0.21579961464354527	711	519
1446	Dpe01:33020094	Ubiq-Low	3'	0.042723631508678236	0.014953271028037384	749	535
1447	Dpe01:33020096	Ubiq-Med	3'	0.08695652173913042	0.08888888888888889	759	540
1448	Dpe01:33020097	Neural	3'	0.19078947368421054	0.10458715596330276	760	545
1452	Dpe01:33020401	Neural	3'	0.06569343065693431	0.027777777777777776	137	144
1453	Dpe01:33020402	Neural	3'	0.12121212121212123	0.07913669064748201	132	139
1454	Dpe01:33020404	Ubiq-Med	3'	0.2809917355371901	0.3083333333333333	121	120
1455	Dpe01:33020406	Ubiq-Med	3'	0.14782608695652175	0.10569105691056913	115	123
1456	Dpe01:33020407	Ubiq-Med	3'	0.13793103448275862	0.18548387096774194	116	124
1457	Dpe01:33020412	Ubiq-Med	3'	0.021505376344086027	0.08	93	100
1458	Dpe01:33020428	Neural	3'	0.1346153846153846	0.07894736842105263	52	38
1470	Dpe01:33086548	Neural	Rec	0.8877551020408163	0.17647058823529413	294	17
1471	Dpe01:33086550	Neural	Rec	0.5120274914089347	0.13333333333333333	291	15
1591	Dpe01:35598474	Neural	Rec	0.7468553459119497	0.025800286669851888	1908	2093
1596	Dpe01:35600774	Neural	Rec	0.7272163670179789	0.08885464817668208	1613	1947
1624	Dpe01:35626483	Neural	3'	0.32558139534883723	0.1794871794871795	43	39
1625	Dpe01:35626484	Neural	3'	0.4	0.225	45	40
1626	Dpe01:35626495	Ubiq-Med	3'	0.043478260869565216	0.19047619047619047	46	42
1628	Dpe01:35627378	Neural	3'	0.11864406779661014	0.05263157894736842	59	38
1629	Dpe01:35628506	Neural	Intron	0.2903225806451613	0.1346153846153846	62	52
1630	Dpe01:35628516	Ubiq-High	Intron	0.9838709677419356	0.9574468085106383	62	47
1631	Dpe01:35628519	Ubiq-Med	Intron	0.09090909090909093	0.08	66	50
1632	Dpe01:35628527	Ubiq-Med	Intron	0.5	0.509090909090909	80	55
1633	Dpe01:35628533	Neural	Intron	0.09523809523809523	0.05357142857142857	84	56
1634	Dpe01:35628600	Neural	Intron	0.2261904761904762	0.13636363636363635	84	44
1635	Dpe01:35629582	Neural	Intron	0.2653061224489796	0.16666666666666666	49	36
1636	Dpe01:35629583	Ubiq-Med	Intron	0.3541666666666667	0.2894736842105263	48	38
1637	Dpe01:35631467	Ubiq-Med	Intron	0.11904761904761905	0.13043478260869565	42	23
1638	Dpe01:35631478	Ubiq-High	Intron	0.6	0.6	40	25
1639	Dpe01:35631539	Ubiq-Med	Intron	0.2692307692307692	0.3076923076923077	26	13
1640	Dpe01:35632468	Ubiq-Low	Intron	0.045454545454545456	0.02654867256637168	88	113
1641	Dpe01:35632511	Neural	Intron	0.14666666666666667	0.022727272727272728	75	88
1642	Dpe01:35634469	Neural	Intron	0.17073170731707318	0.07017543859649122	41	57
1643	Dpe01:35635896	Neural	Intron	0.08461538461538462	0.02083333333333333	130	144
1644	Dpe01:35636078	Neural	Intron	0.0761904761904762	0.027522935779816515	105	109
1645	Dpe01:35636088	Ubiq-High	Intron	0.6914893617021277	0.8383838383838383	94	99
1646	Dpe01:35636096	Neural	Intron	0.12087912087912088	0.05813953488372092	91	86
1647	Dpe01:35636122	Ubiq-Med	Intron	0.05154639175257732	0.17475728155339804	97	103
1648	Dpe01:35636583	Ubiq-Med	Intron	0.09803921568627452	0.18461538461538465	51	65
1649	Dpe01:35636590	Neural	Intron	0.28846153846153844	0.030303030303030307	52	66
1650	Dpe01:35636591	Neural	Intron	0.16981132075471694	0.02985074626865672	53	67
1651	Dpe01:35636593	Ubiq-Med	Intron	0.25	0.5079365079365079	52	63
1652	Dpe01:35636968	Ubiq-Med	Intron	0.01492537313432836	0.1264367816091954	67	87
1653	Dpe01:35638775	Ubiq-Med	Intron	0.14814814814814814	0.125	27	48
1665	Dpe01:35786332	Neural	3'	0.6774193548387096	0.13157894736842105	31	38
1671	Dpe01:36006457	Neural	Rec	0.39332096474953615	0.014772727272727272	539	880
1705	Dpe01:36073775	Neural	3'	0.1794871794871795	0.1	78	10
1734	Dpe01:36336996	Ubiq-Low	SJ	0.03015075376884422	0.040404040404040414	398	198
1742	Dpe01:36360731	Neural	Rec	0.16402116402116398	0.0199501246882793	189	401
1749	Dpe01:36404754	Neural	3'	0.2208258527827648	0.052437902483900636	557	1087
1750	Dpe01:36404766	Ubiq-Low	3'	0.010810810810810813	0.010367577756833177	555	1061
1751	Dpe01:36404767	Ubiq-Low	3'	0.04912280701754386	0.029547553093259463	570	1083
1752	Dpe01:36404768	Ubiq-Low	3'	0.03633217993079585	0.02697841726618705	578	1112
1761	Dpe01:36404984	Ubiq-Low	3'	0.01402936378466558	0.01653372008701958	3065	6895
1765	Dpe01:36404999	Ubiq-Low	3'	0.04213214171720396	0.037859379447765434	3133	7026
1766	Dpe01:36405000	Ubiq-Low	3'	0.024367088607594938	0.02565548350718917	3160	7094
1816	Dpe01:36417796	Neural	Rec	0.7888324873096447	0.11028584289894217	5910	4443
1854	Dpe01:36522321	Ubiq-Med	3'	0.3076923076923077	0.30514705882352944	286	272
1855	Dpe01:36522515	Ubiq-High	3'	0.9036144578313252	0.8809523809523809	83	84
